Feature_gene_name,Feature_length,NoTreat_1,NoTreat_2,NoTreat_3,NoTreat_4,Treat_1,Treat_2,Treat_3,Treat_4
TSPAN6,4536,2590,2576,2052,2431,974,830,896,909
DPM1,9276,2761,2916,2394,2779,3227,2950,2800,2887
SCYL3,6883,342,383,236,362,458,419,358,439
C1orf112,5970,475,586,439,521,439,431,428,442
FGR,3382,14,12,9,7,10,8,15,12
CFH,7980,1382,1496,948,1341,907,816,730,708
FUCA2,2822,3669,3666,3193,3706,3428,3125,2717,2831
GCLC,8618,1113,1092,899,1079,1079,1028,944,967
NFYA,6209,2122,2074,1537,2170,1481,1315,1257,1326
STPG1,8511,347,368,352,334,306,232,258,253
NIPAL3,9396,1080,1006,744,1040,662,623,653,641
LAS1L,12555,2074,2162,1705,2103,1917,1533,1312,1489
ENPP4,4644,4,1,13,6,3,4,9,5
SEMA3F,4826,17500,17292,13679,16992,7514,6458,5975,6672
CFTR,9942,0,0,0,0,3,2,2,4
ANKIB1,7389,3760,4241,2526,3935,7076,6539,5887,6120
CYP51A1,3529,443,514,291,471,676,621,624,589
KRIT1,6204,377,431,278,374,443,391,325,341
RAD52,4503,579,580,512,615,583,459,383,458
BAD,1708,1197,1278,1146,1134,877,816,835,869
LAP3,3779,4671,4825,4080,4741,42636,39227,35376,36096
CD99,4858,1,0,1,0,0,2,0,0
HS3ST1,7435,1398,1310,1016,1291,391,381,339,344
AOC1,3786,1,5,0,4,0,0,0,0
WNT16,3264,1,3,0,0,0,1,0,0
HECW1,13935,0,0,0,0,3,2,0,0
MAD1L1,6955,8,7,2,11,4,2,10,0
LASP1,7061,19887,20644,15854,20065,20612,18637,17794,19083
SNX11,4133,1318,1228,1082,1319,1382,1282,1215,1243
TMEM176A,3477,0,0,0,2,0,0,0,0
M6PR,3585,2565,2667,1908,2475,3271,2968,2805,2823
KLHL13,6983,0,0,2,2,0,0,0,0
CYP26B1,4839,1182,1204,818,1137,99,92,87,52
ICA1,4883,1227,1224,1098,1321,1024,943,889,944
DBNDD1,4462,1794,1792,1431,1722,781,775,710,872
ALS2,33513,3045,3260,2091,3179,2399,2119,1956,2056
CASP10,7581,1885,1967,1418,1868,2588,2371,2363,2142
CFLAR,22479,9958,10563,7821,9982,24330,21072,19646,20121
TFPI,11714,13565,13727,10061,12536,9110,8867,8417,9303
NDUFAF7,3651,530,548,403,552,645,479,459,512
RBM5,10357,4045,4093,3181,3857,3764,2887,2675,3021
MTMR7,6928,49,68,49,36,81,63,72,62
SLC7A2,7905,706,697,437,666,4627,4609,4175,4332
ARF5,1825,4080,4298,3664,4016,2516,2369,2234,2551
SARM1,11105,355,424,268,406,382,342,237,304
POLDIP2,2670,4258,4373,3821,4263,2966,2785,2664,2903
PLXND1,9557,37915,42159,29446,37842,30528,28001,24527,27973
AK2,9625,7723,7993,6253,7647,5360,4942,4643,4942
CD38,6857,82,125,87,75,1353,1255,1040,903
FKBP4,5163,3647,3803,3307,3767,2348,2225,2000,2231
KDM1A,5440,6465,6788,5328,6540,3668,3533,3037,3505
RBM6,7299,4750,4510,3660,4508,5629,3883,3648,4117
CAMKK1,7433,625,700,517,642,221,167,142,150
RECQL,3779,3728,3875,2839,3859,4001,3794,3379,3721
VPS50,9559,1341,1459,1078,1445,1189,1171,999,1196
HSPB6,1724,5,4,2,3,3,4,3,0
ARHGAP33,5260,425,432,310,424,368,198,168,236
NDUFAB1,1548,2202,2130,1938,2021,1714,1727,1564,1609
PDK4,4544,801,808,576,784,15,25,19,9
SLC22A16,3907,0,2,3,0,17,16,12,12
ZMYND10,2889,5,21,7,9,3,6,0,0
ABCB5,8796,0,1,0,2,0,4,0,0
ARX,3114,0,1,2,0,5,0,0,3
SLC25A13,3710,1336,1288,1032,1267,1185,1079,988,1116
ST7,6526,1309,1264,1028,1144,894,845,797,805
CDC27,6824,7692,8402,5825,7748,5998,5908,5466,5801
SLC4A1,5125,22,27,31,8,6,12,14,22
CALCR,4222,0,0,0,0,0,1,0,0
HCCS,2343,1309,1300,1131,1372,1404,1579,1419,1437
DVL2,5321,1441,1409,1140,1500,1758,1448,1340,1431
PRSS22,2384,0,0,0,2,1,0,1,0
UPF1,8573,7218,7562,5745,7119,6715,5842,5360,5774
SKAP2,5361,181,120,115,142,243,183,251,244
SLC25A5,1555,10142,10142,8914,9986,4143,4165,3998,4195
MCUB,3555,2695,2671,2254,2602,3092,2647,2691,2745
HOXA11,2669,0,0,0,0,5,0,0,1
POLR2J,1355,1081,1084,1102,1072,847,767,688,691
DHX33,5789,2059,2180,1603,2096,1413,1398,1264,1401
MEOX1,2674,2,0,6,1,12,3,10,8
THSD7A,10921,921,1064,561,872,154,127,139,145
LIG3,12901,1029,1077,820,1064,666,608,576,565
RPAP3,5350,1987,2034,1561,2025,1760,1651,1580,1622
ACSM3,7510,75,80,71,82,24,12,19,8
REXO5,4111,146,157,139,122,173,112,106,144
CIAPIN1,3383,2434,2458,2097,2505,1997,1756,1666,1848
SPPL2B,7419,1815,1630,1401,1773,2259,1279,1344,1511
FAM214B,6375,2077,2105,1778,2189,2659,2106,1927,2109
COPZ2,1866,161,165,142,159,188,136,161,190
PRKAR2B,4262,11738,12124,9068,11732,4831,4122,4108,4741
MSL3,9780,3171,3128,2519,3156,4347,3636,3406,3660
CREBBP,15479,2969,3695,2149,2964,2549,2643,2154,2269
TSPOAP1,11389,4,1,0,0,0,3,0,0
MPO,3527,0,2,0,0,3,0,0,2
GCFC2,5462,633,718,514,635,477,382,344,425
WDR54,2852,802,794,767,864,527,511,404,563
CROT,4995,1265,1191,888,1155,323,315,328,346
ABCB4,7728,10,5,6,5,4,1,6,3
KMT2E,9949,5133,5922,3624,5228,3909,3511,3153,3534
RHBDD2,2390,1780,1715,1513,1723,1556,1430,1269,1392
SOX8,4470,1,2,0,0,0,1,1,0
IBTK,8719,3213,3476,2282,3185,3517,3595,3152,3329
ZNF195,11711,1245,1127,962,1074,1124,912,758,973
MYCBP2,18170,2708,3547,1530,2712,4289,4569,4018,4153
FBXL3,7076,2618,2602,1972,2647,2037,1800,1754,1892
ITGAL,9864,11,4,10,2,12,18,13,7
PDK2,5471,572,571,529,641,382,295,288,304
ITGA3,9802,17556,18075,14283,17938,16885,15833,14105,14648
ZFX,9037,2377,2584,1637,2169,2228,2181,1931,2069
LAMP2,9404,9864,10281,7436,9786,11920,11388,10814,11314
ITGA2B,5695,22,21,17,20,17,1,3,13
ASB4,4606,0,0,0,2,0,0,0,0
GDE1,4390,4231,4336,3406,4107,3014,2874,2712,3030
REX1BD,3371,1421,1250,1445,1416,1659,1169,1238,1257
CRLF1,2967,15,17,13,15,21,10,18,10
OSBPL7,6572,1230,1149,960,1166,1339,739,660,885
TMEM98,5187,2258,2333,1879,2216,1284,1183,1090,1175
YBX2,4631,6,1,6,6,5,1,3,4
MAP3K14,5668,427,448,409,463,393,309,291,291
ABCC8,27254,0,0,0,0,0,3,1,0
TMEM132A,7274,8638,8236,6981,8189,33530,28020,26304,28687
AP2B1,7591,17942,19181,13282,17894,14748,14358,12944,14605
TAC1,1712,0,0,0,0,0,4,0,0
ZNF263,6403,1459,1476,1249,1452,1335,1065,987,1129
CX3CL1,5960,8,11,8,15,15084,13238,11838,11696
SPATA20,5337,2058,1927,1683,1935,2854,1940,1853,2074
CACNA1G,10062,0,6,0,2,3,3,4,5
TNFRSF12A,1801,3774,3381,2894,3654,2712,2446,2350,2396
MAP3K9,12386,2,0,5,0,0,1,0,0
RALA,3579,14815,15381,12488,14773,35494,33872,31629,33250
BAIAP2L1,4821,112,84,72,82,43,41,50,53
KDM7A,9378,672,909,403,746,1757,1697,1428,1472
ETV1,9615,1072,1095,799,1084,672,723,664,721
AGK,10697,1309,1357,1071,1386,1248,1166,993,1181
ALDH3B1,6626,16,12,14,9,33,11,15,20
TTC22,6111,0,0,0,0,3,0,0,0
PHTF2,8646,1248,1209,870,1153,873,819,818,859
CCL26,703,1,0,1,0,0,0,0,0
FARP2,14371,1422,1601,975,1488,1447,1304,1205,1239
GGCT,1594,1101,1227,977,1148,539,537,497,582
DBF4,4595,1238,1256,1019,1311,590,543,562,602
TBXA2R,2827,113,102,111,126,205,206,178,212
IFRD1,7902,216,218,197,251,240,175,150,165
COX10,6756,526,558,464,602,468,418,420,451
GTF2IRD1,6499,663,654,523,618,483,461,484,441
PAF1,2850,4223,4371,3889,4247,3085,2838,2754,2825
VPS41,7752,3409,3825,2609,3462,3431,3250,3154,3374
ARHGAP44,9322,3,5,8,6,1,4,6,7
ELAC2,7002,4823,4831,4091,4924,3945,3493,3238,3529
SCIN,11626,1,1,1,5,57,43,30,20
ARSD,7026,2162,2372,1745,2276,2021,1801,1720,1838
PNPLA4,3411,5,1,6,5,8,7,8,7
MYH13,6120,0,0,0,0,0,1,0,0
ADIPOR2,5831,3974,4130,3086,3992,4421,4195,3804,4062
CDKL3,3149,14,7,17,14,22,18,22,18
UPP2,2957,0,0,0,2,2,0,1,0
PRSS21,1967,0,0,0,2,0,0,0,0
MARK4,6656,3119,3296,2389,2984,2037,1865,1737,1829
PROM1,7457,55,43,38,63,0,3,0,0
CCDC124,1661,4579,4450,4391,4588,3460,3054,2918,3248
CEACAM21,1977,48,57,38,40,16,16,4,11
PAFAH1B1,13771,7909,8660,5863,7984,7101,6754,6229,6700
NOS2,4399,0,1,0,0,5,3,4,2
DNAH9,16941,128,156,125,144,34,30,29,38
KIAA0100,9232,12886,14297,9621,13023,7577,7162,6666,7310
SLC13A2,3226,0,0,0,0,0,1,0,0
GAS7,10158,1,1,5,0,4,5,3,5
TRAPPC6A,933,345,290,314,342,173,172,137,219
MATK,4138,1,0,2,0,0,1,0,1
CEACAM7,2653,0,0,0,0,0,1,0,0
CD79B,2062,10,14,7,11,4,7,1,10
SCN4A,8243,1,5,0,1,0,2,0,0
ST7L,8108,642,556,414,552,536,578,478,530
TKTL1,3526,0,5,1,5,0,0,3,4
PAX6,20639,1,5,3,1,7,6,2,7
RPUSD1,2769,1715,1537,1528,1492,1097,956,898,951
RHBDF1,4914,2405,2304,1906,2367,3831,2724,2617,2904
LUC7L,6176,3194,3068,2787,3084,2967,2119,1973,2205
CACNA2D2,6508,14,5,12,6,3,3,1,6
BAIAP3,6109,19,22,26,20,54,29,29,30
TSR3,1210,2523,2467,2506,2620,2107,1767,1754,1884
PIGQ,7856,1605,1497,1386,1560,1835,1166,1173,1298
CRAMP1,8596,993,1075,811,914,1098,990,792,909
TEAD3,3049,34,33,15,36,20,3,11,11
SELE,4586,144,172,160,161,97486,96246,90432,95649
DNAJC11,5083,2368,2468,1907,2462,2541,2236,2039,2118
FMO3,3439,0,0,2,0,1,1,0,0
MYLIP,3072,1067,1202,883,1120,890,812,680,789
NOX1,2543,35,11,18,20,13,16,10,7
E2F2,5462,152,225,162,226,53,69,59,37
PSMB1,2219,5118,5456,4995,5348,5035,5090,4450,4730
SYN1,3733,1,2,0,0,1,0,3,1
JARID2,6244,1051,1180,798,1130,655,597,568,589
CDKL5,19056,380,478,275,361,617,582,522,619
CAMK1G,3328,0,0,0,5,4,1,1,1
CDK11A,5085,101,81,65,91,200,97,95,118
NADK,5570,4264,4189,3624,4202,3689,3112,2878,3059
TFAP2B,6155,0,0,0,2,1,0,0,0
DLEC1,8338,1,1,6,2,14,12,6,9
CYTH3,5808,1976,2000,1518,1903,864,869,784,928
ADAM22,13668,197,231,140,185,89,69,63,67
SYPL1,2783,5593,5852,4631,5654,4916,4672,4566,4726
CYB561,5296,1684,1723,1363,1708,1285,1189,1061,1101
SPAG9,11966,5615,6368,4149,5830,6648,6247,5643,6199
CELSR3,13850,38,39,21,49,108,83,88,62
AASS,10816,2989,3189,2230,3005,1882,1707,1532,1717
PLEKHG6,4316,80,79,56,75,43,36,47,46
SS18L2,3118,572,596,493,544,483,473,403,506
MPND,2049,543,575,469,466,322,334,283,304
MGST1,7441,2891,2987,2955,2964,2348,2247,2187,2284
CRY1,4782,1782,1867,1323,1676,929,879,887,916
PGLYRP1,708,12,9,7,13,18,14,3,7
NFIX,6435,6104,6830,4848,5950,5336,5113,4716,4808
ST3GAL1,8852,4583,5110,3722,4902,10504,10001,8745,9186
MMP25,4745,51,39,34,52,107,51,55,61
IL32,3209,1400,1810,1535,1768,17090,16191,14192,15019
PKD1,18534,2867,3145,2008,2865,4005,3355,2710,3139
MAPK8IP2,5793,23,20,21,30,28,29,35,28
MED24,6962,3852,3933,3204,3916,4441,3656,3256,3513
RHOBTB2,6611,1243,1272,1080,1256,746,652,601,640
HEATR5B,8238,3691,4002,2355,3646,2644,2332,2162,2268
SEC62,7928,8959,8844,7210,8559,7050,6514,6015,6576
RPS20,6765,21021,20838,20286,19988,11400,12424,11252,12250
CSDE1,5778,33466,35513,25354,34016,26014,24117,22621,24121
UBE3C,9215,7708,7704,5629,7626,6862,6543,6100,6259
REV3L,12425,3678,4534,2172,3563,1931,1986,1772,1848
TENM1,12896,1,1,2,0,0,2,0,0
PAX7,6473,0,0,0,0,0,1,0,0
MASP2,4257,29,40,31,37,49,27,27,21
IYD,10362,0,0,1,1,0,0,0,0
FAM76A,4046,576,596,490,608,663,614,486,601
TRAF3IP3,7750,3,7,2,7,5,7,3,11
POMT2,13203,1117,1029,921,1170,1204,976,844,1014
VTA1,7258,3076,2994,2436,2835,2375,2083,1975,2162
BAZ1B,7060,9218,10003,6672,9535,7521,7170,6290,6796
RANBP9,3618,2709,2778,2204,2705,2326,2172,1973,2166
ETV7,2374,17,13,14,28,1532,1217,1191,1032
SPRTN,5906,1031,1040,763,1064,597,556,571,564
EEF1AKNMT,3831,1889,1866,1633,1884,1878,1539,1456,1518
DYRK4,7054,999,1099,889,992,976,898,829,957
ZNF207,15818,5252,5630,4320,5313,5775,5009,4682,5190
UQCRC1,3204,5314,5108,4729,5217,3762,3524,3282,3552
STARD3NL,4324,2883,2891,2423,2761,2686,2682,2635,2630
CD9,5829,35549,34478,28853,34491,22793,22924,21229,21978
HHATL,2888,0,0,0,1,1,0,0,0
NCAPD2,6470,6836,7207,5475,7036,3000,2715,2709,3010
IFFO1,4945,2293,2145,1933,2259,2974,1841,1899,2104
GIPR,5069,0,1,4,0,1,5,0,3
PHF7,3364,130,137,82,121,102,79,94,76
SEMA3G,5047,144,105,81,143,4,13,8,5
NISCH,9062,6083,6619,4677,6051,4253,3035,2830,3176
STAB1,10588,39226,40592,30719,38430,32326,26526,22360,24929
FUZ,2953,513,516,393,490,440,346,341,380
SLC6A13,4243,0,0,0,3,5,2,2,0
IDS,9294,463,494,350,525,517,391,391,471
PRSS3,1425,2138,2182,2123,2373,1003,955,966,1049
ZNF200,7498,810,842,732,775,886,753,701,766
CD4,4557,5,7,5,8,3,5,3,3
LRRC23,3052,149,145,149,161,186,169,142,195
BTK,4575,17,16,15,20,7,4,3,6
HFE,5675,670,698,553,692,1001,992,836,843
SCMH1,4447,1630,1642,1291,1561,1329,1212,1141,1130
FYN,7411,6831,6869,5588,6837,7522,6928,6479,6998
HIVEP2,10655,2084,2311,1276,1967,2984,2943,2641,2519
FMO1,3602,3,1,0,2,0,3,0,0
ELOA,5391,3090,3259,2582,3242,4327,4081,3592,3895
LYPLA2,2021,3939,3830,3530,3851,3196,2872,2844,3054
CLCN6,8173,1258,1271,939,1297,2506,1875,1586,1897
MRC2,6591,1003,945,809,918,996,937,853,1071
NME1-NME2,1241,43,60,46,60,20,9,27,17
SLC6A7,4277,0,0,0,0,1,1,0,1
TSPAN9,6905,14027,14291,11036,13832,7055,6137,5899,6634
BTBD7,11333,3732,4038,2258,3578,1834,1831,1566,1755
APBA3,5596,695,681,550,715,1243,992,864,943
MKS1,11285,561,640,477,600,481,336,372,382
ABHD5,7539,2664,2738,2149,2719,1557,1393,1286,1398
AKAP8L,8576,2090,2073,1762,1971,2990,2037,1982,2223
MBTD1,7184,929,919,672,904,568,522,487,542
UTP18,2703,2389,2353,2099,2213,1762,1723,1610,1733
RNF216,7576,3846,4007,3006,4034,3743,3172,2988,3232
TTC19,6054,2775,2843,2344,2681,1897,1638,1624,1834
PTBP1,7521,19610,19733,15326,19419,17732,15076,14305,15555
DPF1,4800,195,165,154,170,99,61,45,89
SYT7,7552,47,43,33,25,1,3,4,8
LARS2,12407,1573,1623,1196,1515,1723,1716,1393,1646
PIK3C2A,9204,10600,11689,6536,11050,9418,9533,8604,9220
PLAUR,4457,2702,2809,2559,2996,5793,5098,4764,5249
ANLN,5997,10173,10634,7408,10861,3903,3265,3560,3793
WIZ,10037,4148,4016,3140,3879,3293,2805,2528,2820
RABGAP1,7656,3040,3359,2233,3113,2545,2402,2063,2490
DCN,12941,0,1,1,1,3,1,3,1
QPCTL,2825,1017,954,948,980,739,671,639,734
PPP5C,7089,4962,5095,4329,4910,3692,3112,2973,3206
CEP68,8623,2566,2860,2070,2754,1338,1188,1132,1273
MAP4K3,6056,1445,1592,1078,1373,1593,1476,1389,1488
ZBTB32,2739,6,7,5,5,13,16,13,9
TYROBP,907,4,4,10,9,0,6,9,2
TMEM159,2558,802,807,640,737,921,847,773,802
GABRA3,4150,0,0,0,0,0,5,0,0
BRCA1,9306,1564,1872,1219,1710,1220,1104,892,1047
ERCC1,5575,2443,2431,2089,2430,1778,1575,1473,1571
CD22,6165,3,1,2,8,6,4,0,8
SEMA3B,5768,28,38,27,24,55,27,34,31
MBTPS2,8945,1335,1366,969,1415,1305,1244,1224,1305
PRICKLE3,3656,273,312,223,285,699,548,522,612
LTF,3989,30,59,35,48,1,0,4,7
EXTL3,13046,6675,7198,4965,6846,5632,5473,5066,5402
ELOVL5,3813,8643,8774,6538,8416,8314,8081,7339,7873
ALOX5,3730,5,5,8,5,7,11,6,6
CALCOCO1,8898,4235,3915,2971,3964,4646,2949,2795,3159
UBR7,3509,2292,2308,1939,2353,1348,1258,1123,1263
MAP4K5,7580,4065,4253,2838,3945,3963,3654,3305,3729
EHD3,4825,153,132,104,137,60,56,44,73
PSMC4,2550,4306,4252,3817,4322,4164,4048,3513,3902
MAN2B2,8884,3727,3928,3149,3773,4591,4381,3858,4315
SLC7A14,10496,317,321,229,404,1624,1625,1514,1665
CLDN11,4321,11,11,17,17,43,42,13,47
SLC25A39,3526,4857,4689,3937,4639,2997,2386,2320,2827
MVP,6141,17162,17286,15482,17166,22206,19100,18215,19406
NUB1,5338,2730,2773,2290,2692,9777,8997,7928,7976
PGM3,7478,2497,2480,1846,2572,3550,3394,3035,3261
RWDD2A,3769,434,398,377,379,547,458,476,500
CLK1,5170,2258,2262,1740,2240,2130,1521,1469,1744
POLR3B,4768,903,1031,659,905,610,572,485,572
ANGEL1,6525,1116,1059,815,1066,1166,989,925,1002
RNF14,4988,2197,2384,1840,2260,2070,1990,1830,2197
DNASE1L1,4132,1947,1895,1575,1976,909,745,733,728
DDX11,8367,1731,1676,1348,1684,1820,1180,1107,1204
HEBP1,3428,4759,4684,3950,4390,3876,3673,3526,3544
GPRC5A,7663,3850,4105,3159,3911,1591,1479,1345,1319
MAMLD1,6664,961,1129,756,988,212,204,178,196
CD6,5958,2,7,0,0,0,0,2,0
TACC3,8825,5775,5535,5254,5615,2672,1991,2101,2354
UFL1,4539,1985,2183,1402,2272,2068,1912,1761,1996
POLA2,5568,269,312,329,317,435,355,330,316
ZC3H3,3721,1200,1234,1015,1334,1383,1210,1053,1187
CAPN1,7506,15490,15583,12978,15827,15008,13561,12568,13801
ACP3,4280,0,0,0,0,0,2,0,0
MDH1,4990,3529,3769,3310,3873,3319,3158,3049,3283
SLC30A9,7199,3637,3994,3085,3863,2870,2793,2609,2889
MTMR11,4572,1558,1625,1268,1544,4143,2978,2651,2946
COX15,5215,1206,1211,933,1140,911,866,764,942
CCDC88C,12426,938,980,710,831,197,216,211,189
YAF2,10839,735,742,676,742,534,601,583,573
ZMYND11,5325,5015,5408,3720,5080,3719,3362,3122,3410
WAS,2361,6,9,8,10,5,11,2,21
DPEP1,2737,21,28,20,20,15,7,5,5
BID,4420,1738,1803,1513,1610,2776,2397,2360,2479
MATR3,12064,75,94,64,98,101,51,52,73
NPC1L1,5267,0,0,0,1,0,0,0,0
XYLT2,5472,2227,2204,1808,2166,2076,1849,1720,1827
RGPD5,14185,10,7,8,11,7,8,10,12
NUDCD3,9893,5976,6298,5025,6235,4636,4097,4014,4603
CHDH,7787,2,0,0,4,0,2,1,0
IL20RA,4730,1,0,0,0,1,0,0,0
GLT8D1,3785,2784,2701,2359,2682,2717,2543,2398,2607
ATP2C1,8510,5509,5975,4393,5892,6178,5621,5438,5804
IGF1,8115,1,3,2,6,1,8,7,10
SLC38A5,4018,59,42,33,65,277,225,210,171
RALBP1,8041,6723,7289,5645,6831,5747,5383,5047,5409
RUFY3,9405,1191,1319,946,1104,907,715,701,784
CNTN1,7492,0,1,0,2,1,2,0,0
SLC11A1,8676,3,11,5,12,6,8,6,2
WWTR1,8353,19148,20101,13516,18116,9752,9701,9109,9862
AGPS,15223,6255,6539,4286,6202,4554,4359,4015,4336
STEEP1,2581,1131,1142,962,1048,1053,948,869,907
TTC27,3443,1378,1298,1099,1382,1398,1400,1212,1374
ZNF582,3350,61,85,79,89,87,79,73,78
VSIG2,1447,969,875,784,889,429,279,267,342
PHLDB1,21715,5123,5239,4055,5422,8262,6514,5875,6818
MARCO,2051,0,0,1,0,1,0,0,0
CYP24A1,3988,0,0,0,0,0,0,1,0
PRDM11,13976,752,778,528,814,676,624,625,643
SYT13,5445,1,0,0,0,0,0,5,0
SNAI2,3281,166,187,156,178,83,77,77,75
CD74,6122,10,17,8,14,1654,1418,1269,1350
HGF,9753,12,4,6,11,38,41,32,26
ZRANB1,5993,1243,1232,838,1200,1063,1056,954,989
NCDN,4917,1348,1349,993,1291,1239,974,879,934
ADGRA2,7084,3716,3942,2829,3785,999,898,863,1068
ZFP64,6790,1695,1558,1469,1681,1495,1517,1349,1462
MNAT1,3877,1285,1315,1086,1299,1220,1187,1159,1298
SAMD4A,12333,2742,2976,1908,2764,7426,6931,6348,6822
RUNX3,4922,7,2,2,3,32,26,11,17
MRE11,7674,2213,2350,1768,2370,1615,1420,1396,1419
PLEKHB1,4933,42,30,27,29,14,6,12,17
SERPINB1,3047,3096,3310,2567,3004,4761,4362,3900,4237
CYP3A43,2637,0,0,1,0,2,0,0,0
SLC7A9,2598,0,2,1,1,0,0,0,0
SPAST,9481,1704,1870,1470,1865,1249,1196,1141,1256
NRXN3,15534,192,195,123,183,46,56,35,49
OSBPL5,7473,2952,3078,2635,3057,4135,3187,3109,3322
AQR,13431,3043,3230,2082,2911,2583,2552,2344,2403
CPS1,11018,82,88,60,119,34,36,28,23
C8B,2732,0,0,0,0,0,0,1,0
FHL1,5862,29019,29373,22819,28085,10762,10175,9390,10347
RTF2,4063,6083,6094,5257,6409,4872,4483,4231,4537
GABRA1,8420,0,0,0,0,0,3,0,1
NLRP2,6313,0,0,0,0,2,0,0,0
SLC45A4,8608,279,306,176,275,181,164,148,193
RNF10,5900,8213,8546,6953,8554,6356,5827,5621,5924
ZNF839,5595,222,279,175,203,379,246,229,238
ZDHHC6,9250,2598,2674,2013,2582,2154,1881,1703,1906
GRAMD1B,14944,491,540,320,465,280,221,160,195
RNH1,7374,12608,12268,11299,12628,15029,12990,12193,13372
NDUFS1,12174,4524,4802,3515,4578,4081,3925,3550,3741
RB1CC1,7613,4308,4508,3183,4280,3665,3610,3317,3563
ERP44,4808,3497,3538,3022,3384,5888,5552,5164,5267
ALAS1,2536,2863,3050,2341,2841,4185,3976,3495,3874
BIRC3,7518,122,137,88,150,11999,10951,10131,10466
AKAP11,9915,3716,4133,2002,3537,2274,2484,2086,2246
GLRX2,6210,848,938,767,797,706,703,632,623
SNAPC1,2593,646,601,537,618,522,539,519,530
DERA,2813,1379,1523,1254,1427,1169,1144,1031,1125
STRAP,2215,8959,9208,7684,8956,6240,6119,5643,5994
ABCC2,7837,70,74,43,55,65,67,85,83
DEF6,2579,15,15,19,16,17,13,14,21
PLEKHO1,6629,4980,4917,4329,4546,7427,6542,6025,6203
GCLM,5426,4883,4843,3715,4897,4887,4479,4177,4462
UBR2,8874,2635,2777,1905,2708,3599,3334,2977,3196
EHD2,3844,26813,28540,21662,26762,11760,11314,10336,11435
DEPDC1,5904,1956,1963,1512,2112,584,518,563,653
CCDC28A,1247,354,320,252,258,341,349,327,295
RRAGD,5095,8,4,4,2,6,16,9,10
HSF2,2697,665,659,546,625,414,418,396,407
PHF20,8372,5291,5590,3954,5199,3943,3762,3421,3861
HSD17B6,2272,9,7,3,6,2,6,0,5
NR1H3,4534,392,375,304,358,251,132,135,172
TYMP,3600,217,169,190,181,15470,11100,10382,10898
NCAPH2,4459,1857,1900,1700,1825,1442,1160,1160,1239
TOMM34,1973,4738,4997,4103,4785,3599,3318,2985,3505
SEC63,8606,6202,6383,4614,5966,6166,5740,5079,5607
KPNA6,7457,4731,5378,3679,4657,3789,3696,3379,3539
VIM,5176,216409,221526,198849,215502,119526,113805,108597,122670
RTEL1-TNFRSF6B,9093,223,204,148,202,365,189,209,201
FAS,5578,845,931,722,816,1082,968,936,1167
RNASET2,19532,270,275,217,253,461,405,344,382
CD44,9992,22681,24998,19158,24445,48245,47287,42364,45868
KCNG1,5415,1,1,7,2,9,4,1,4
AGPAT4,14253,1749,1961,1243,1697,1402,1148,1080,1182
SLAMF7,4833,0,3,2,0,0,0,0,1
BTN3A1,5539,1485,1578,1146,1388,5134,4499,3832,4042
MIPEP,3388,943,947,801,1040,712,682,604,685
PRKCH,8971,9469,9796,7371,9059,5341,5116,4776,5184
INSRR,5200,2,2,0,3,5,1,3,6
IFNGR1,3276,1776,1793,1353,1632,3018,2823,2538,2953
B4GALT7,4878,1257,1332,1162,1228,1365,1157,1116,1256
SH2D2A,2498,14,17,22,25,181,168,133,188
VRK2,3531,1451,1543,1073,1440,1824,1657,1506,1550
TNFRSF1B,3778,920,1101,780,992,483,413,383,368
VEZT,8766,6485,6694,4996,6488,4198,3764,3663,3818
POU2F2,9072,251,275,239,255,5884,5405,4649,4984
BRD9,9549,3549,3743,3071,3654,3343,2509,2459,2575
SNX1,9789,6694,6976,5478,6529,5971,5345,4863,5365
TBPL1,5039,660,692,612,592,560,526,507,519
ARNTL2,6983,5346,5623,4009,5313,5948,5221,5284,5670
BCLAF1,9533,8922,9087,6220,8705,6773,6620,5986,6486
SLC39A9,7138,3107,3290,2353,3104,2831,2820,2506,2727
ANK1,10797,258,264,166,242,338,311,255,285
TFB1M,4111,535,572,547,491,553,560,565,539
RABEP1,7059,4387,4761,3470,4481,3314,2916,2859,2967
HMGB3,3914,4161,4194,3671,4300,1381,1229,1360,1435
NUP160,8576,3008,3227,2069,3005,3254,3238,2749,2811
BAK1,2212,1469,1467,1185,1565,2698,2444,2219,2268
MUSK,9176,0,0,0,1,1,2,0,0
IKZF2,12243,107,130,58,89,220,225,189,143
GRN,3524,21937,21467,18561,21120,38910,35029,31910,34216
FAM13B,6808,1727,1736,1118,1613,921,826,759,842
ARHGAP31,9374,6948,7440,4823,6927,7900,7659,6897,7113
CENPQ,1741,766,793,648,703,531,554,476,564
SARS1,3849,8787,8597,7457,8971,9531,8776,8307,8987
RANBP3,7445,3012,2997,2524,3025,2865,2443,2278,2365
ARID4A,7449,2055,2197,1702,2057,2033,1906,1750,1919
EIPR1,5723,1212,1289,1106,1271,1019,940,886,921
PNPLA6,7161,9498,8752,7388,8539,6837,6086,5644,6350
IFT88,6049,769,789,590,715,731,629,557,669
ALG1,10637,1171,1203,945,1117,933,756,792,842
ZCCHC8,9125,1211,1295,1053,1175,1357,1181,1025,1244
ABCF2,5158,1198,1210,1019,1081,888,835,731,894
CHPF2,4205,5397,5333,4083,5185,6981,6304,5681,6104
LRRC7,30043,37,29,22,38,33,27,15,28
