Feature_gene_name,Feature_length,NoTreat_1,NoTreat_2,NoTreat_3,NoTreat_4,Treat_1,Treat_2,Treat_3,Treat_4
IL17RE,4673,41,75,40,72,22,13,11,20
IL17RC,4540,347,313,262,303,401,307,308,285
CRELD1,9266,348,274,202,351,477,318,260,343
PRRT3,3953,213,219,193,254,238,181,163,213
FANCD2OS,1919,0,0,1,0,0,0,0,1
PCOLCE2,3533,56,61,29,63,34,40,48,42
U2SURP,11297,4669,4995,3622,4898,5092,4508,4210,4439
MTMR14,6019,1833,1824,1385,1836,2311,1995,2048,2265
TTC14,7900,1417,1542,1017,1368,1880,1378,1268,1456
CXCL3,2219,131,123,104,114,36448,36909,32926,30792
CXCL5,2436,2,1,3,0,1190,1199,1000,1103
PPBP,1307,4,0,3,0,0,1,0,2
PF4,773,2,0,1,6,2,6,4,2
MTHFD2L,9819,507,508,406,494,502,419,420,405
CXCL1,1362,1206,1275,1125,1292,93700,100429,88399,84811
RCHY1,6337,1208,1247,961,1137,854,748,771,797
PLSCR2,2709,0,1,2,2,2,1,0,2
CCDC158,6037,4,1,0,3,2,9,3,2
CPA3,1815,5,6,6,14,5,10,17,14
GYG1,7551,2982,3012,2478,2949,2738,2665,2498,2636
HPS3,6202,1308,1437,1006,1421,1437,1297,1207,1430
TM4SF18,4357,5119,5058,3791,4791,3989,3817,3753,4138
TOPBP1,7337,3014,2936,2334,3215,2010,1845,1707,1899
RYK,8162,2760,2794,2285,2713,2078,1932,1810,2059
SNRK,6981,14609,15258,10423,14174,7189,6920,6033,6744
DNAJC5G,2338,0,0,0,2,0,0,0,0
UCN,795,10,8,7,9,1,8,0,5
ZNF513,2370,1014,983,832,955,1248,896,898,923
SLC4A1AP,5207,2504,2580,2188,2521,2573,2354,2182,2333
PLB1,8603,42,31,43,42,55,42,59,33
SPDYA,3483,6,6,7,20,16,11,8,7
KIAA1143,5216,2394,2608,1831,2437,1523,1538,1358,1529
KIF15,5281,1235,1372,929,1348,425,302,386,377
TGM4,5443,9,10,5,10,0,0,0,2
WDR43,4103,3017,3030,2287,3112,2151,2101,1907,2070
ZDHHC3,13405,3831,3840,3016,3722,2736,2409,2244,2464
CDCP1,6508,6783,7376,5158,6965,13034,12196,10806,11651
CLEC3B,985,58,101,106,137,0,0,0,0
SLC6A20,6653,0,0,0,0,3,5,0,9
LZTFL1,7203,1010,1035,886,1032,1191,994,935,1097
FYCO1,8895,3417,3957,2373,3474,2841,2713,2295,2650
CCR1,2646,0,2,0,0,3,0,3,0
RTP3,1578,0,0,1,0,0,0,0,0
LRRC2,5774,17,20,9,16,10,13,11,11
ELP6,3264,1192,1198,1035,1210,869,780,730,764
FBXO40,5669,3,0,1,0,4,4,1,5
DTX3L,5768,2348,2890,1979,2589,15038,14638,13186,13379
ZNF148,10437,2856,3069,1946,2776,2251,2119,1999,2220
NMNAT3,12983,0,0,0,0,2,0,1,0
SMIM12,10337,1941,2013,1563,1924,1667,1556,1428,1532
ZMYM6,9568,464,530,435,464,418,344,354,417
TPRA1,5621,1728,1647,1598,1739,1821,1491,1287,1478
YEATS2,10232,3744,4027,2785,3737,5091,4956,4210,4546
GRIK3,10497,0,0,1,1,0,0,0,0
ZC3H12A,3091,203,162,158,189,3026,2506,2398,2439
MEAF6,6061,2333,2462,2089,2475,2449,2358,2148,2286
SNIP1,5718,1311,1396,896,1125,1788,1713,1575,1523
DNALI1,4456,845,914,717,790,928,793,738,786
POLR2H,3146,2324,2088,1929,2141,2436,1797,1563,1705
KLF15,2814,13,9,10,23,7,10,9,9
CFAP100,3382,1,0,0,1,0,2,0,1
CAMK2N2,1452,0,2,0,1,4,5,0,2
LIPH,4097,1,4,1,1,4,8,1,1
TMEM41A,8668,958,983,800,941,934,859,747,914
RPN1,3965,14563,14426,12065,14387,15408,14832,13491,14458
SENP2,7102,1978,1993,1563,1894,1835,1655,1588,1734
IFT122,9636,1104,1242,941,1185,723,517,575,588
RHO,2768,2,0,0,0,0,0,4,1
RFC4,2997,872,908,784,907,532,430,439,416
RPL39L,1033,215,213,216,224,148,164,127,176
BAP1,4718,5349,5443,4295,5419,4895,4174,3726,4105
TKT,9502,21628,21701,18408,21515,10454,9353,8704,9613
PRKCD,3619,933,902,720,980,1668,1612,1405,1539
RFT1,5479,890,936,688,871,651,612,576,571
SFMBT1,5681,272,360,227,319,362,317,297,318
GNL3,3238,4885,4645,3985,4623,3578,3188,3107,3144
PBRM1,9654,5252,5721,3413,5064,3265,3448,2932,3312
UVSSA,16920,509,545,335,524,920,649,556,629
TASOR,9853,3983,4406,2651,3788,3492,3400,3025,3366
ARHGEF3,6576,8057,8527,6320,8135,6590,6583,5999,6418
SLBP,1884,2819,2891,2392,2998,2547,2496,2246,2592
LRPAP1,11816,5775,5822,5160,5864,6950,6163,5790,5967
ZDHHC19,2429,0,0,6,2,3,1,1,1
SLC51A,5263,86,76,78,64,118,99,83,100
UBXN7,11247,2780,3445,1802,2679,2114,2186,1932,2123
RNF168,5347,2210,2279,1864,2186,1638,1518,1429,1514
PIGX,4427,1015,1066,852,914,590,621,545,610
MELTF,8394,861,881,795,928,833,661,669,691
OTOP1,1981,0,2,0,0,0,0,0,0
S100P,471,6,2,7,1,1,4,5,2
ABLIM2,6166,54,37,23,45,22,11,15,12
EXO5,2574,277,237,237,280,244,254,220,248
C1orf50,5286,156,183,113,158,136,87,86,118
ERMAP,5720,447,477,313,445,311,263,223,248
ZNF691,2036,370,363,296,397,339,258,243,257
AIMP1,9258,2283,2274,1972,2355,1884,1718,1592,1677
SGMS2,7635,4116,4395,3002,4323,2190,2088,1907,2121
METAP1,4074,2930,2732,2328,2747,1880,1813,1683,1833
DNAJB14,12970,3185,3356,1983,3201,3773,3381,3260,3553
H2AZ1,2270,12229,11902,10755,12287,5615,5170,4957,5705
EMCN,5172,8487,8087,6091,7591,190,192,183,252
SLC9B1,2957,22,15,12,8,17,16,5,9
SLC9B2,8611,1389,1368,975,1477,890,863,892,809
BDH2,5213,1113,1107,903,1044,801,701,620,639
PGRMC2,4626,4059,4145,3395,3972,3591,3585,3196,3104
CDC25A,4145,1073,1021,868,1083,640,630,589,623
ZNF589,5521,1241,1343,1009,1267,722,526,497,556
FBXW12,3488,0,0,2,2,0,1,0,0
PLXNB1,9768,1683,1685,1304,1567,1000,764,723,776
CCDC51,2410,416,392,374,461,380,378,313,339
ATRIP,5431,706,652,541,624,692,486,473,508
SHISA5,4416,9598,9419,8158,9767,8775,7745,7701,8095
SPRY1,3963,154,144,112,160,80,83,69,83
BSN,16241,32,32,14,25,29,19,19,21
APEH,4425,2019,2111,1711,2149,2243,2037,1927,2011
INTU,16041,246,295,145,248,232,207,190,202
RNF123,7419,1591,1461,1103,1566,1620,1345,1179,1295
HSPA4L,11439,1894,2128,1340,1895,879,807,752,855
MFSD8,8849,710,800,623,810,798,620,616,684
ABHD18,6733,600,539,397,614,532,500,465,481
CAMKV,3613,0,5,2,3,0,0,0,0
MON1A,6446,976,955,807,1099,694,567,478,583
MST1R,5252,34,36,22,42,115,79,48,65
RAD54L2,12121,1759,2087,1284,1630,1321,1224,1034,1191
TEX264,5688,1382,1436,1334,1422,1385,1172,1146,1217
GRM2,7098,9,4,1,5,3,5,1,1
DUSP7,5669,2200,2036,1668,2040,1221,1086,1066,1175
POC1A,2274,799,820,692,915,375,316,362,371
PPM1M,3607,947,940,851,933,910,730,670,829
ETNPPL,2942,8,3,5,12,1,0,0,0
WDR82,5719,8669,9044,6737,8953,6821,6491,6114,6623
PITX2,5787,0,0,0,0,13,18,13,15
C4orf3,2960,5279,5520,4631,5024,5319,5151,4790,5053
PRSS12,5725,0,0,2,5,36,28,25,26
NDST3,6854,0,0,0,0,0,1,0,0
HMGB2,2401,8893,9743,8339,9257,4262,3411,3498,3653
SAP30,1309,977,903,818,849,560,496,486,457
SCRG1,5103,0,6,1,2,0,2,1,1
HAND2,3601,397,478,422,424,224,207,180,234
MAD2L1,5517,1867,1995,1600,1899,693,692,680,728
ANXA5,2925,31246,31265,27288,31427,27197,26214,24367,26509
SMIM43,3061,10,3,2,3,1,1,2,1
MAP9,8857,0,0,2,0,1,0,2,4
GUCY1A1,10461,0,0,0,0,1,1,0,0
FBXO8,2213,866,814,704,924,843,900,764,781
CEP44,7079,616,693,522,728,457,424,343,398
HPGD,5531,158,160,126,147,20,5,6,8
ASB5,4218,0,0,0,1,0,0,0,0
C4orf45,1486,0,0,0,1,0,0,0,0
TMEM144,9248,64,68,50,82,52,61,50,59
GASK1B,7880,13917,14662,10261,13477,4748,4679,4686,5558
NPY1R,3980,2,0,1,0,4,0,1,0
NPY5R,3338,0,0,0,0,0,2,0,0
NAA15,9664,4753,5113,3767,4839,3744,3642,3328,3464
IL15,7876,7,10,11,9,138,136,142,143
FAM160A1,11843,4,6,1,5,17,10,7,15
ARFIP1,4269,1779,1732,1394,1728,1483,1486,1329,1487
ICE1,8681,3646,3918,2325,3599,3439,3194,2839,3056
HHIP,11939,10920,11760,8125,10426,12222,11438,11159,11956
ANAPC10,4522,201,227,188,224,223,176,199,248
ABCE1,6254,7157,7577,5637,7329,5069,4829,4577,4892
OTUD4,9513,2995,3207,1929,2882,5628,5120,4612,4780
LSM6,3975,832,989,847,906,714,785,699,717
TMEM184C,4709,2433,2643,1735,2259,2187,2088,1886,2000
PRMT9,3952,517,610,422,529,402,340,316,398
ITGA2,7896,10132,11624,6745,10197,10460,10881,9457,10388
MOCS2,6009,1953,1939,1719,1874,994,1032,961,1023
SLC45A2,3223,0,0,0,0,1,0,0,0
EDIL3,5825,1768,1677,1115,1559,313,252,218,258
TMEM161B,9598,427,421,336,425,562,429,423,468
ELOVL7,4461,4,1,2,0,41,8,10,16
NDUFAF2,6912,1071,1131,979,1096,945,883,833,836
ZNF474,2083,19,19,26,27,7,6,9,4
LMBRD2,8352,761,832,438,812,520,469,417,468
RANBP3L,4884,7,1,4,5,0,2,0,1
NIPBL,12519,3670,4358,2339,3359,3304,3436,2759,3070
RNF180,5435,327,426,255,375,377,346,331,394
ADGRV1,33822,7,2,8,5,16,14,19,18
SLC25A46,8270,2818,2997,2124,2802,2694,2419,2287,2626
STARD4,5684,2728,2858,2107,2951,7814,6536,6256,6478
PGGT1B,10069,1215,1384,890,1149,1039,925,964,1056
F2RL2,3408,415,520,340,479,95,74,84,65
CCDC112,3149,880,905,760,820,426,420,330,455
ANKRD33B,10043,1375,1637,973,1483,2232,2014,1786,2001
CMBL,4882,1114,1219,912,1099,250,260,277,291
C5orf63,4527,43,53,29,44,57,41,50,49
PRRC1,9029,3634,3832,2526,3641,2976,2948,2606,2777
F2RL1,2930,67,51,50,55,2182,2419,2116,2051
AGGF1,5032,936,869,700,890,856,793,658,730
WDR41,7141,1532,1585,1221,1739,1557,1397,1324,1455
NDUFS4,1174,1344,1361,1294,1403,1138,1221,1147,1169
HTR4,7045,3,0,0,0,3,6,1,6
ESM1,2692,6948,7634,6603,7904,27430,25026,23509,25084
GRPEL2,4419,1218,1435,1093,1316,2063,1835,1565,1918
CDC20B,4522,0,2,0,0,6,9,1,1
ARSK,4325,717,749,581,705,691,611,655,655
RHOBTB3,8827,3547,3999,2707,3815,4456,4368,3959,4265
GPX8,4045,3359,3183,2612,3241,4832,4454,4070,4638
TIGD6,4127,168,228,129,192,207,185,182,180
SPZ1,1918,1,0,0,0,0,0,0,0
SERINC5,9539,951,1040,712,920,575,551,514,628
ENPP6,4615,0,0,0,0,87,59,60,52
CAGE1,3511,4,1,2,0,4,2,5,0
CASP3,2899,4126,4167,3486,4276,5581,5141,4949,5285
PRIMPOL,2789,566,552,477,532,379,351,339,347
ERAP1,7945,4294,4396,3069,4182,10540,10268,9004,9469
ERAP2,6953,10337,10789,7882,10257,20591,20046,18404,19847
CMYA5,14220,7,6,0,3,11,7,7,17
EGFLAM,6183,1,1,1,5,8,8,4,6
CFAP97,7192,2807,2929,1885,2869,2115,2278,2015,2231
RICTOR,13540,2006,2088,1111,1960,4560,4311,3655,4058
TENT2,7093,1898,1944,1377,1798,2513,2174,2046,2163
EBF1,6333,0,3,0,0,0,0,0,0
ANKRA2,2785,426,391,334,391,464,414,378,428
UBLCP1,2463,1786,1780,1429,1727,1625,1568,1501,1485
UTP15,6324,1123,1121,834,1009,815,718,668,696
TLR3,6725,476,536,345,486,4944,4385,4134,3897
KLKB1,2915,0,0,1,0,0,3,2,0
NSA2,4962,5144,5326,4805,5029,3372,3311,3268,3569
GFM2,3971,1594,1766,1295,1679,1541,1329,1247,1344
TERT,5920,36376,38538,27492,35756,13838,12561,11244,11844
SLC6A18,2095,0,0,0,0,0,0,1,0
CCDC127,9642,1082,1062,883,1135,1122,999,869,945
ACSL6,16996,0,1,0,0,0,2,0,1
IL3,924,0,0,0,0,0,3,2,3
CSF2,788,22,23,19,29,13825,13312,11771,11496
SEPTIN8,7709,5623,5721,4204,5559,4312,3526,3465,3727
SHROOM1,4181,576,512,415,519,549,369,368,406
GDF9,3279,9,2,5,5,7,3,4,7
